AAA,BBB,CCC,DDD,EEE
5.10,10.51,7.87,12.82,17.87
5.13,10.33,7.75,12.68,17.88
5.16,10.33,7.74,12.77,17.76
5.22,10.35,7.72,12.84,17.56
5.29,10.30,7.67,12.66,17.52
5.19,10.38,7.69,12.63,17.76
5.22,10.42,7.71,12.57,17.69
5.23,10.49,7.78,12.62,17.42
5.17,10.42,7.77,12.35,17.31
5.15,10.41,7.85,12.31,17.39
5.16,10.62,7.80,12.55,17.85
5.10,10.53,7.77,12.53,17.88
5.07,10.58,7.80,12.54,17.85
5.01,10.56,7.73,12.67,17.92
5.03,10.52,7.74,12.85,17.89
4.95,10.42,7.77,12.59,17.45
5.05,10.51,7.79,12.40,17.43
4.96,10.42,7.87,12.45,17.44
5.01,10.49,7.87,12.45,17.36
5.02,10.51,7.84,12.38,17.22
5.03,10.62,7.90,12.32,17.10
4.99,10.76,7.86,12.26,17.00
4.96,10.77,7.91,12.43,16.95
4.95,10.93,7.85,12.51,16.82
4.97,11.10,7.93,12.49,16.85
5.04,11.25,8.01,12.58,17.00
5.12,11.17,8.04,12.51,17.15
5.19,11.24,8.02,12.34,17.28
5.26,11.29,8.01,12.25,17.33
5.20,11.29,7.97,12.12,17.29
5.15,11.39,7.92,11.94,17.12
5.13,11.42,7.97,12.04,17.01
5.15,11.32,8.05,12.08,16.96
5.19,11.16,8.13,12.02,17.32
5.26,11.17,8.26,12.06,17.50
5.23,11.29,8.20,12.01,17.60
5.16,11.37,8.20,12.06,17.19
5.22,11.32,8.03,12.18,17.06
5.16,11.47,8.09,12.20,16.80
5.17,11.54,8.10,12.10,16.92
5.19,11.54,8.14,12.17,17.05
5.19,11.54,8.05,12.17,17.10
5.21,11.38,8.03,12.21,17.10
5.28,11.32,8.15,12.21,16.75
5.20,11.22,8.06,12.37,16.80
5.13,11.42,7.98,12.20,16.67
5.04,11.29,7.95,11.98,16.36
4.99,11.30,7.94,12.15,16.60
4.96,11.21,7.91,12.04,16.63
4.97,11.00,7.76,11.91,16.62
4.96,10.86,7.72,11.91,16.81
5.07,10.86,7.71,12.00,16.85
5.10,10.97,7.80,12.05,16.72
5.07,10.97,7.69,12.07,16.79
5.08,11.05,7.66,12.17,16.85
4.99,11.02,7.64,12.21,16.59
4.97,10.81,7.62,12.41,16.40
4.97,10.76,7.64,12.53,16.58
5.01,10.83,7.52,12.42,16.45
4.97,11.09,7.48,12.41,16.67
4.97,11.01,7.61,12.41,16.78
4.99,10.84,7.68,12.46,16.54
4.99,10.91,7.57,12.62,16.63
5.02,10.84,7.50,12.67,16.36
4.99,11.03,7.44,12.56,16.35
5.08,11.12,7.47,12.73,16.16
5.05,11.13,7.55,12.77,15.88
5.09,11.16,7.69,12.97,15.36
5.16,11.25,7.64,13.06,15.30
5.24,11.12,7.67,13.06,15.48
5.22,11.15,7.65,13.05,15.39
5.16,11.21,7.66,12.83,15.68
5.19,11.19,7.80,13.07,15.67
5.19,11.04,7.87,12.92,15.54
5.20,10.78,7.83,12.82,15.55
5.17,10.67,7.86,12.95,15.67
5.23,10.46,7.93,13.36,15.71
5.30,10.41,8.01,13.31,15.80
5.35,10.53,7.96,13.25,15.83
5.39,10.47,7.89,13.41,15.80
5.37,10.43,7.92,13.37,15.99
5.41,10.57,7.94,13.51,16.47
5.45,10.81,7.78,13.52,16.81
5.45,10.93,7.83,13.44,16.75
5.45,10.99,7.87,13.15,16.51
5.46,11.00,7.88,13.37,16.52
5.42,11.05,7.84,13.39,16.45
5.57,10.99,7.66,13.60,16.35
5.53,10.97,7.63,13.73,16.15
5.56,10.85,7.56,13.82,15.98
5.57,10.84,7.56,13.70,15.95
5.69,10.86,7.60,13.72,15.52
5.68,10.84,7.55,13.73,15.51
5.76,10.83,7.57,13.80,15.33
5.70,10.91,7.64,13.88,15.62
5.62,10.95,7.70,13.90,15.76
5.59,10.79,7.69,13.72,15.91
5.58,10.69,7.76,13.72,15.80
5.58,10.72,7.78,13.81,15.93
5.66,10.69,7.83,13.66,16.06
5.68,10.86,7.81,13.56,16.28
5.60,10.85,7.76,13.65,16.19
5.54,10.90,7.73,13.53,16.04
5.53,11.08,7.77,13.55,16.51
5.59,10.77,7.75,13.57,16.33
5.64,10.75,7.74,13.31,16.45
5.64,10.79,7.85,13.46,16.74
5.56,10.63,7.96,13.41,16.57
5.51,10.46,8.01,13.28,16.62
5.54,10.29,8.00,13.23,16.49
5.48,10.27,7.99,13.48,16.65
5.43,10.29,7.98,13.24,16.70
5.48,10.19,7.99,13.32,16.72
5.59,10.40,7.94,13.20,16.63
5.62,10.40,7.93,13.16,16.89
5.62,10.49,7.98,13.14,17.06
5.64,10.60,8.07,13.20,16.82
5.67,10.69,8.03,13.17,17.02
5.72,10.66,7.91,13.33,17.08
5.82,10.75,7.81,13.30,17.02
5.85,10.76,7.90,13.46,16.99
5.89,10.78,7.92,13.25,17.19
5.96,10.87,7.97,13.26,17.26
5.92,10.71,7.99,13.06,17.35
6.05,10.80,8.10,13.17,17.33
6.03,10.63,7.86,13.22,17.63
6.01,10.72,7.93,13.14,17.44
6.03,10.83,7.95,13.16,17.38
6.07,10.81,7.98,13.34,17.17
6.08,10.82,8.05,13.47,16.85
5.98,10.82,8.03,13.44,16.97
5.89,10.81,8.09,13.44,17.06
5.89,11.03,8.04,13.38,17.09
5.95,11.09,8.13,13.42,17.08
5.99,11.19,8.14,13.37,17.15
6.07,11.15,8.07,13.37,17.23
6.10,11.23,8.05,13.24,17.22
6.07,11.17,8.14,13.20,17.39
6.07,11.20,8.03,13.25,17.29
6.00,11.31,8.08,13.27,17.34
6.03,11.28,8.20,13.21,17.06
6.03,11.22,8.15,13.08,16.79
5.93,11.17,8.20,13.30,16.72
5.98,11.11,8.29,13.40,16.58
6.06,11.12,8.22,13.32,16.52
6.02,10.98,8.19,13.32,16.50
6.06,10.95,8.18,13.49,16.78
6.17,10.92,8.17,13.39,16.66
6.24,10.92,8.06,13.16,16.42
6.11,11.12,7.97,13.37,16.71
6.03,11.27,8.12,13.55,16.62
6.00,11.45,7.98,13.37,16.70
5.93,11.41,7.95,13.38,16.72
6.02,11.49,7.91,13.41,17.00
5.91,11.56,7.93,13.47,17.11
5.99,11.45,7.96,13.46,17.01
6.00,11.66,8.05,13.38,17.16
5.91,11.88,8.03,13.28,16.90
5.84,11.90,7.97,13.38,17.19
5.78,11.91,7.94,13.30,17.01
5.73,11.84,7.78,13.51,16.91
5.80,11.89,7.69,13.53,17.16
5.87,11.91,7.55,13.61,17.40
5.83,11.89,7.51,13.64,17.19
5.77,12.06,7.57,13.63,17.17
5.76,12.33,7.60,13.98,17.35
5.84,12.45,7.68,14.02,17.64
5.80,12.49,7.68,14.00,17.61
5.75,12.19,7.66,14.08,17.69
5.69,12.28,7.76,14.14,17.62
5.85,12.45,7.68,14.23,17.33
5.87,12.54,7.68,14.03,17.35
5.86,12.51,7.50,13.94,17.40
5.78,12.69,7.52,13.75,17.47
5.69,12.60,7.58,13.48,17.61
5.69,12.42,7.54,13.34,17.32
5.62,12.62,7.52,13.21,17.36
5.58,12.61,7.64,13.09,17.58
5.59,12.53,7.66,13.07,17.56
5.60,12.43,7.64,13.06,17.65
5.61,12.38,7.63,13.06,17.60
5.62,12.40,7.64,13.02,17.37
5.64,12.47,7.63,13.27,17.61
5.62,12.58,7.78,13.38,17.90
5.61,12.54,7.71,13.49,18.10
5.61,12.41,7.55,13.38,18.17
5.55,12.28,7.54,13.46,18.00
5.54,12.20,7.53,13.61,17.87
5.54,12.00,7.47,13.87,17.74
5.48,12.02,7.58,14.11,17.55
5.42,11.85,7.59,14.22,17.45
5.39,11.65,7.78,14.31,17.44
5.32,11.52,7.82,14.40,17.68
5.33,11.68,7.82,14.44,17.59
5.34,11.79,7.86,14.27,17.53
5.28,11.68,7.80,14.25,17.55
5.29,11.66,7.84,14.16,17.59
5.27,11.56,7.85,14.16,17.74
5.24,11.58,7.91,14.16,17.72
5.22,11.57,7.88,14.22,17.64
5.35,11.62,7.89,14.49,17.59
5.31,11.90,7.85,14.42,17.66
5.41,12.04,7.88,14.39,17.88
5.52,12.09,7.86,14.33,17.65
5.52,12.05,7.76,14.18,17.31
5.59,12.23,7.73,14.06,17.43
5.58,12.42,7.76,14.01,17.82
5.63,12.18,7.67,13.68,17.77
5.51,11.96,7.60,13.67,17.62
5.51,12.01,7.62,13.78,17.72
5.43,12.20,7.74,13.72,17.38
5.39,12.20,7.80,13.84,17.18
5.51,12.42,7.81,14.15,17.33
5.60,12.43,7.81,14.09,17.21
5.64,12.44,7.80,14.00,17.29
5.59,12.34,7.73,13.90,17.88
5.64,12.38,7.74,13.90,17.70
5.63,12.54,7.85,13.90,17.57
5.62,12.69,7.76,13.84,17.64
5.72,12.57,7.85,13.86,17.67
5.75,12.67,7.93,13.96,17.69
5.73,12.62,8.05,14.03,17.81
5.83,12.72,8.02,13.99,17.74
5.76,12.67,7.99,13.93,17.79
5.83,12.69,8.02,13.78,17.95
5.89,12.83,8.07,13.66,17.87
5.92,12.71,7.84,14.03,18.14
6.03,12.74,7.82,14.07,18.30
6.16,13.00,7.81,14.36,18.19
6.15,13.13,7.86,14.47,18.24
6.12,13.25,7.88,14.53,18.06
6.16,13.28,7.81,14.46,18.20
6.16,13.15,7.81,14.59,18.53
6.25,13.14,7.90,14.77,18.69
6.24,13.09,7.87,14.90,18.48
6.21,12.96,8.04,14.74,18.48
6.24,12.96,8.01,14.68,18.42
6.20,12.88,8.13,14.79,18.43
6.18,13.05,7.99,14.77,18.67
6.20,13.22,8.02,14.56,18.58
6.15,12.95,8.04,14.57,18.68
6.20,13.19,8.11,14.52,18.76
6.19,13.18,8.08,14.82,18.60
6.23,13.47,7.98,15.06,18.57
6.23,13.41,8.02,14.96,18.65
6.23,13.46,8.06,15.06,18.58
6.22,13.24,7.96,15.13,18.84
6.22,13.33,7.94,15.21,18.74
6.29,13.11,7.97,15.20,18.77
6.26,13.35,7.94,15.01,19.01
6.24,13.40,7.98,14.87,19.17
6.11,13.30,8.03,15.06,19.31
6.21,13.32,8.02,15.03,19.49
6.23,13.49,8.03,14.84,19.70
6.32,13.66,7.82,14.89,20.05
6.32,13.53,7.92,14.77,19.53
6.35,13.22,7.83,14.86,19.35
6.30,13.31,7.73,15.12,19.27
6.33,13.07,7.73,15.16,19.19
6.34,13.15,7.72,15.19,18.77
6.31,13.17,7.53,15.16,18.82
6.43,13.25,7.57,15.06,18.89
6.49,13.24,7.50,15.08,19.19
6.46,13.27,7.46,15.12,19.55
6.49,13.46,7.43,14.96,19.71
6.39,13.44,7.52,15.03,19.78
6.43,13.61,7.45,14.66,19.82
6.44,13.67,7.49,14.34,19.95
6.50,13.41,7.46,14.45,19.93
6.28,13.39,7.53,14.32,19.99
6.21,13.55,7.55,14.15,20.03
6.22,13.56,7.56,14.22,19.97
6.11,13.58,7.56,14.18,19.90
6.07,13.57,7.50,14.14,19.81
6.10,13.59,7.63,14.20,19.97
6.04,13.64,7.73,14.21,20.04
6.03,13.69,7.69,14.14,20.07
6.04,13.67,7.63,14.19,20.26
6.14,13.56,7.63,14.13,20.36
6.03,13.54,7.67,14.19,20.34
6.01,13.44,7.67,14.32,20.06
6.06,13.44,7.75,14.14,20.13
6.15,13.38,7.80,14.12,20.16
6.10,13.41,7.74,14.14,19.96
6.09,13.36,7.84,14.06,19.96
6.08,13.26,7.90,14.04,19.83
6.18,13.29,8.01,14.03,19.70
6.14,13.29,8.04,14.01,19.93
6.25,13.15,7.97,14.18,20.11
6.31,13.00,8.00,14.26,20.08
6.34,13.31,7.86,14.40,20.18
6.48,13.48,7.87,14.42,20.07
6.45,13.54,7.84,14.43,20.36
6.43,13.60,7.77,14.28,20.34
6.40,13.61,7.88,14.22,20.33
6.38,13.73,7.94,14.26,20.16
6.45,13.68,8.01,14.35,19.87
6.48,13.59,8.17,14.24,19.75
6.49,13.56,8.08,14.26,19.70
6.43,13.47,8.10,14.20,19.57
6.52,13.52,8.10,14.14,19.32
6.55,13.49,8.18,14.23,19.06
6.59,13.38,8.16,14.35,19.17
6.55,13.34,8.01,14.30,19.53
6.59,13.29,7.91,14.26,19.67
6.62,13.18,7.95,14.35,19.73
6.74,13.09,8.07,14.32,19.88
6.73,13.11,8.13,14.24,19.87
6.74,13.07,7.98,13.94,20.33
6.68,13.28,8.10,13.89,20.41
6.66,12.97,8.16,13.98,20.32
6.69,12.97,7.99,13.98,20.63
6.65,12.85,8.02,13.99,20.51
6.80,12.77,8.01,14.13,20.38
6.64,12.97,8.08,14.11,20.65
6.54,12.96,8.10,14.41,20.35
6.52,13.07,8.20,14.63,20.03
6.55,12.92,8.25,14.74,19.70
6.59,12.91,8.20,14.67,19.82
6.67,12.84,8.28,14.52,20.05
6.70,12.56,8.39,14.35,19.95
6.60,12.59,8.38,14.27,20.24
6.57,12.89,8.32,13.95,20.26
6.60,12.98,8.30,13.80,19.97
6.72,12.90,8.26,13.81,19.71
6.69,12.95,8.22,13.75,19.61
6.63,13.00,8.12,13.75,19.63
6.45,12.98,8.20,13.62,19.65
6.34,13.05,8.31,13.68,19.62
6.37,12.85,8.17,13.64,19.57
6.26,13.04,8.20,13.70,19.67
6.20,13.12,8.13,13.67,19.65
6.09,12.92,8.14,13.71,19.49
6.13,12.97,8.13,13.80,19.90
6.10,12.84,8.14,13.73,19.59
6.06,12.80,8.22,13.75,19.41
6.01,12.71,8.09,13.93,19.73
6.02,12.65,8.23,13.92,19.93
6.09,12.68,8.21,14.05,19.80
6.13,12.68,8.23,13.94,19.75
6.18,12.66,8.31,14.04,19.88
6.15,12.72,8.28,14.18,19.92
6.09,12.68,8.32,14.25,19.57
6.00,12.85,8.31,14.35,19.59
6.12,12.74,8.09,14.39,19.51
6.16,12.97,8.02,14.57,19.76
6.15,12.83,8.06,14.74,20.05
6.19,12.75,8.12,14.72,19.84
6.24,12.80,8.04,14.53,19.96
6.21,12.79,8.08,14.31,19.48
6.24,13.07,8.06,14.15,19.45
6.20,13.03,8.13,14.27,19.39
6.26,13.09,8.15,14.30,19.40
6.38,12.90,8.27,14.30,19.52
6.42,12.68,8.31,14.34,19.65
6.58,12.47,8.30,14.21,19.46
6.59,12.55,8.24,14.47,19.37
6.61,12.48,8.28,14.50,18.94
6.63,12.50,8.25,14.19,19.04
6.66,12.50,8.23,14.05,19.02
6.65,12.71,8.24,14.07,19.26
6.67,12.55,8.27,14.07,19.25
6.79,12.77,8.29,13.89,19.40
6.80,12.75,8.49,13.99,19.16
6.86,12.61,8.58,14.08,18.74
6.94,12.65,8.53,14.00,18.91
6.95,12.64,8.54,14.14,18.84
7.08,12.66,8.54,14.22,19.22
7.20,12.57,8.38,14.08,19.68
7.29,12.44,8.49,14.07,19.41
7.19,12.44,8.52,13.97,19.60
7.25,12.36,8.66,13.74,19.55
7.27,12.36,8.80,13.71,19.45
7.25,12.37,8.95,13.74,19.44
7.35,12.39,9.06,13.64,19.46
7.26,12.31,9.10,13.36,19.45
7.20,12.24,9.31,13.29,19.48
7.15,12.29,9.41,13.56,19.45
7.20,12.03,9.40,13.48,19.63
7.22,12.16,9.47,13.28,19.68
7.23,12.18,9.41,13.25,19.89
7.25,12.24,9.55,13.30,20.06
7.26,12.20,9.58,13.07,20.19
7.25,12.25,9.54,12.95,20.12
7.19,12.31,9.56,12.90,20.20
7.23,12.36,9.56,13.15,20.09
7.31,12.39,9.52,12.99,20.09
7.23,12.19,9.37,13.05,19.82
7.27,12.11,9.28,13.09,19.77
7.34,12.00,9.35,13.20,19.92
7.25,12.01,9.21,13.24,19.92
7.18,12.00,9.29,13.30,19.81
7.18,11.89,9.28,13.03,19.87
7.30,11.95,9.40,12.91,19.40
7.51,12.09,9.34,12.80,19.83
7.56,12.20,9.20,12.83,19.92
7.63,12.09,9.12,12.61,19.78
7.68,12.26,9.23,12.74,20.01
7.48,12.38,9.32,12.60,19.76
7.39,12.47,9.33,12.53,20.13
7.38,12.31,9.30,12.44,19.88
7.47,12.23,9.22,12.36,20.20
7.49,11.94,9.16,12.38,20.25
7.57,11.91,9.13,12.43,20.56
7.61,11.87,9.27,12.25,20.60
7.49,11.73,9.26,12.22,20.52
7.49,11.68,9.09,12.18,20.69
7.48,11.74,9.15,12.10,20.83
7.42,11.65,9.17,12.13,20.87
7.44,11.72,9.18,11.94,20.91
7.35,11.86,9.29,12.04,20.61
7.35,11.90,9.38,11.98,20.59
7.31,11.95,9.46,12.19,20.83
7.37,12.14,9.57,12.01,20.77
7.36,12.13,9.62,12.17,20.32
7.35,12.18,9.63,12.33,20.48
7.34,12.41,9.62,12.32,20.66
7.42,12.43,9.75,12.48,20.61
7.39,12.38,9.68,12.16,20.35
7.37,12.39,9.98,12.21,20.57
7.52,12.51,9.94,12.18,20.81
7.56,12.50,10.07,12.17,20.59
7.59,12.48,10.14,12.03,20.63
7.60,12.37,10.13,12.12,20.42
7.55,12.33,10.12,11.99,20.97
7.56,12.38,10.21,11.93,21.31
7.69,12.20,10.18,11.71,21.40
7.53,12.14,10.18,11.71,21.37
7.54,12.15,10.14,11.72,21.06
7.60,12.33,10.16,11.92,21.18
7.53,12.46,10.39,12.05,21.21
7.52,12.43,10.42,11.92,21.38
7.55,12.56,10.55,11.95,21.36
7.48,12.64,10.42,11.80,21.40
7.49,12.75,10.42,11.77,21.64
7.58,12.59,10.29,11.84,21.15
7.57,12.53,10.22,11.87,20.84
7.57,12.81,10.19,11.82,21.28
7.68,12.82,10.32,11.75,21.59
7.73,12.89,10.51,11.72,21.31
7.79,12.91,10.55,11.48,21.51
7.73,13.10,10.54,11.63,21.96
7.74,13.26,10.59,11.60,21.76
7.65,13.39,10.50,11.45,21.84
7.67,13.48,10.46,11.44,21.54
7.69,13.36,10.35,11.47,21.62
7.65,13.25,10.27,11.39,21.85
7.62,13.34,10.45,11.46,22.16
7.63,13.17,10.61,11.59,21.80
7.63,13.16,10.41,11.51,21.63
7.65,13.16,10.38,11.61,21.60
7.55,13.08,10.51,11.68,22.08
7.56,12.97,10.34,11.69,21.91
7.75,12.93,10.29,11.64,21.91
7.69,12.94,10.20,11.58,22.06
7.67,12.86,10.17,11.64,21.90
7.79,12.80,10.19,11.43,21.87
7.76,12.93,10.02,11.62,21.96
7.86,12.95,10.04,11.70,22.07
7.93,12.93,10.11,11.78,21.79
7.88,12.97,9.93,11.68,21.83
7.97,12.82,9.98,11.61,21.98
7.92,12.90,10.06,11.52,21.89
7.83,12.97,10.12,11.53,21.94
7.80,12.94,10.18,11.45,21.76
7.92,12.92,10.16,11.40,21.60
7.96,12.91,10.23,11.38,21.77
7.92,12.88,10.35,11.53,21.74
8.01,12.68,10.39,11.54,21.68
7.94,12.49,10.33,11.30,21.81
7.98,12.53,10.39,11.41,21.64
8.06,12.43,10.37,11.38,21.63
8.11,12.36,10.35,11.40,21.56
8.24,12.45,10.40,11.27,21.21
8.19,12.70,10.22,11.42,21.32
8.33,12.40,10.27,11.42,21.12
8.38,12.33,10.51,11.48,20.89
8.43,12.37,10.62,11.53,20.64
8.22,12.26,10.53,11.47,20.64
8.28,12.43,10.53,11.52,20.68
8.34,12.56,10.62,11.68,20.59
8.32,12.66,10.84,11.86,20.76
8.42,12.53,10.86,11.76,20.68
8.35,12.47,10.66,11.73,20.69
8.34,12.32,10.62,11.74,20.81
8.42,12.50,10.52,11.62,21.05
8.30,12.48,10.66,11.68,21.26
8.22,12.49,10.57,11.69,21.20
8.19,12.56,10.52,11.70,21.14
8.21,12.70,10.67,11.65,21.10
8.23,12.57,10.76,11.55,21.05
8.26,12.53,10.67,11.48,21.04
8.25,12.40,10.47,11.39,20.92
8.27,12.63,10.42,11.21,20.64
8.37,12.49,10.33,11.08,20.68
8.31,12.56,10.24,11.04,20.89
8.22,12.46,10.08,11.18,20.77
8.28,12.50,10.05,11.18,20.83
8.37,12.37,10.08,11.33,20.92
8.43,12.21,10.08,11.53,21.24
8.37,12.42,10.05,11.51,21.36
8.47,12.42,9.94,11.45,21.27
8.42,12.33,10.06,11.54,21.22
8.50,12.35,10.17,11.62,21.25
8.59,12.29,10.36,11.73,21.32
8.63,12.21,10.36,11.68,21.55
8.64,12.22,10.30,11.56,21.26
8.65,12.40,10.25,11.79,20.85
8.65,12.36,10.34,11.70,20.87
8.67,12.43,10.56,11.72,20.59
8.61,12.34,10.42,11.76,20.81
8.53,12.39,10.40,11.62,20.85
8.66,12.60,10.62,11.68,20.75
8.66,12.60,10.49,11.64,20.93
8.60,12.77,10.48,11.67,20.81
